0.002, 0
0.004, 0
0.006, 0
0.008, 0
0.01, 0
0.012, 0
0.014, 0
0.016, 0
0.018, 0
0.02, 0
0.022, 0
0.024, 0
0.026, 0.180556
0.028, 0.396296
0.03, 0.472531
0.032, 0.498148
0.034, 0.510185
0.036, 0.511728
0.038, 0.520679
0.04, 0.528395
0.042, 0.534259
0.044, 0.537654
0.046, 0.537963
0.048, 0.53858
0.05, 0.53858
0.052, 0.53858
0.054, 0.53858
0.056, 0.53858
0.058, 0.53858
0.06, 0.53858
0.062, 0.53858
0.064, 0.53858
0.066, 0.53858
0.068, 0.53858
0.07, 0.53858
0.072, 0.796914
0.074, 0.848765
0.076, 0.847222
0.078, 0.842284
0.08, 0.841358
0.082, 0.845988
0.084, 0.83858
0.086, 0.835802
0.088, 0.832099
0.09, 0.827778
0.092, 0.833951
0.094, 0.830247
0.096, 0.825
0.098, 0.819136
0.1, 0.811728
0.102, 0.808951
0.104, 0.803086
0.106, 0.808025
0.108, 0.80679
0.11, 0.800926
0.112, 0.793519
0.114, 0.776543
0.116, 0.771296
0.118, 0.773148
0.12, 0.772531
0.122, 0.766975
0.124, 0.759877
0.126, 0.435185
0.128, 0.266049
0.13, 0.13179
0.132, 0
0.134, 0
0.136, 0
0.138, 0
0.14, 0
0.142, 0
0.144, 0
0.146, 0
0.148, 0
0.15, 0
0.152, 0
0.154, 0
0.156, 0
0.158, 0
0.16, 0.383025
0.162, 0.385802
0.164, 0.128086
0.166, 0.385494
0.168, 0.511728
0.17, 0.497531
0.172, 0.351543
0.174, 0.317901
0.176, 0.207099
0.178, 0.512037
0.18, 0.512346
0.182, 0.306173
0.184, 0.308951
0.186, 0.203704
0.188, 0.207716
0.19, 0.206173
0.192, 0.418519
0.194, 0.425617
0.196, 0.324383
0.198, 0.108333
0.2, 0.110802
